Year,Month,Inflation,Food_inflation,Interest_rate,BDC_Dollar_Rate,Fx_Supply
2003,Jan,10.6,7.5,0,0,0
2003,Feb,7.3,3.5,0,0,0
2003,Mar,5.9,0.1,0,0,0
2003,Apr,8.3,3.3,0,0,0
2003,May,8.7,3.3,0,0,0
2003,Jun,14,6.2,0,0,0
2003,Jul,12.9,0.1,0,0,0
2003,Aug,12.4,0.9,0,0,0
2003,Sep,18.4,6.2,0,0,0
2003,Oct,23.6,13.2,0,0,0
2003,Nov,21.3,12.4,0,0,0
2003,Dec,23.8,15.4,0,0,0
2004,Jan,22.4,11.9,0,147.65,0
2004,Feb,24.8,14.5,0,142.95,0
2004,Mar,22.5,15.6,0,139.92,0
2004,Apr,17.5,14.4,0,138.85,0
2004,May,19.8,18.1,0,139.64,0
2004,Jun,14.1,14.5,0,140,0
2004,Jul,10.7,12.2,0,139.84,0
2004,Aug,13,16.3,0,140.33,0
2004,Sep,9.1,14.6,0,141.08,0
2004,Oct,10.7,15.4,0,140.54,0
2004,Nov,10,15.1,0,140.69,0
2004,Dec,10,12.1,0,138.71,0
2005,Jan,9.8,15.1,0,139.8,0
2005,Feb,10.9,18.7,0,139.93,0
2005,Mar,16.3,25,0,139.73,0
2005,Apr,17.9,20.3,0,141.77,0
2005,May,16.8,15.7,0,141.21,0
2005,Jun,18.6,18,0,141.85,0
2005,Jul,26.1,35.7,0,143.94,0
2005,Aug,28.2,38.5,0,145.82,0
2005,Sep,24.3,29.5,0,145.8,0
2005,Oct,18.6,24.6,0,144.99,0
2005,Nov,15.1,19.7,0,143.94,0
2005,Dec,11.6,15.5,0,141.93,0
2006,Jan,10.7,14.7,0,144.09,0
2006,Feb,10.8,10.5,0,145.47,0
2006,Mar,12,9.3,0,148.46,0
2006,Apr,12.6,9.6,0,147.85,0
2006,May,10.5,8.6,0,142.33,0
2006,Jun,8.5,6.2,0,136.82,0
2006,Jul,3,-3.7,0,130.12,0
2006,Aug,3.7,-2.3,0,130.46,0
2006,Sep,6.3,4.3,0,130.21,0
2006,Oct,6.1,4.7,0,130.3,0
2006,Nov,7.8,5.4,0,129.82,0
2006,Dec,8.5,3.9,10,129.32,0
2007,Jan,8,-0.1,10,130.07,0
2007,Feb,7.1,3.3,10,130,0
2007,Mar,5.2,1.7,10,129.34,0
2007,Apr,4.2,2.1,10,129,0
2007,May,4.6,2.4,10,129.16,0
2007,Jun,6.4,3.2,8,128.33,0
2007,Jul,4.8,1.1,8,127.52,0
2007,Aug,4.2,-1.2,8,127.43,0
2007,Sep,4.1,-0.8,8,126.5,0
2007,Oct,4.6,-0.1,9,126.5,0
