event_id_cnty;event_date;year;time_precision;disorder_type;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;civilian_targeting;iso;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;tags;timestamp
NIG31749;"27 June 2023";2023;2;"Political violence";Battles;"Armed clash";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;22;;566;"Western Africa";Nigeria;Borno;Gwoza;;Gwoza;11.084;13.6925;2;"Twitter; Vanguard (Nigeria)";"New media-National";"Around 27 June 2023 (as reported), Boko Haram [JAS Faction] fighters killed four members at Mandara mountains in Gwoza LGA (Borno) after they were accused of rebellion. The murdered fighters were killed for attempting to form a faction.";4;;1688417502
NIG31750;"23 June 2023";2023;1;"Political violence";Battles;"Armed clash";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Islamic State (West Africa)";;2;22;;566;"Western Africa";Nigeria;Borno;Nganzai;;Gajiram;12.493;13.2091;2;"Sun (Nigeria); Twitter; Vanguard (Nigeria)";"New media-National";"On 23 June 2023, Boko Haram [JAS Faction] fighters on motorcycles ambushed two vehicles conveying ISWAP fighters and engaged them in an armed clash on the road between Gajiganna and Gajiram (Nganzai, Borno). Several Boko Haram fighters were killed, their rifles and motorcycles were seized by ISWAP. Fatalities coded as 10.";10;;1688417502
NIG31354;"18 May 2023";2023;1;"Political violence";Battles;"Armed clash";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Civilian JTF: Civilian Joint Task Force";;3;23;;566;"Western Africa";Nigeria;Borno;Gwoza;;Kirawa;11.1854;13.8841;1;Twitter;"New media";"On 18 May 2023, Boko Haram [JAS faction] militants engaged Civilian JTF operatives who were escorting civilians to work in the fields in an armed clash at Kirawa (Gwoza, Borno). One Civilian JTF was killed after he ran out of ammunition and the militants beheaded him.";1;;1685381916
NIG31289;"29 April 2023";2023;1;"Strategic developments";"Strategic developments";"Looting/property destruction";"MNJTF: Multinational Joint Task Force";;8;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;28;;566;"Western Africa";Nigeria;Borno;Mobbar;;Damasak;13.0977;12.4952;2;"Sun (Nigeria)";National;"Property destruction: On 29 April 2023, troops of MNJTF destroyed an operational base of Boko Haram [JAS faction] militants during patrols at Kangori village, located about 17km west of Damasak (Mobbar, Borno). 19 militants were also arrested.";0;;1684862429
NIG31174;"27 April 2023";2023;2;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (2015-2023)";"Civilian JTF: Civilian Joint Task Force";1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Gargash;11.4759;13.9743;1;"Guardian (Nigeria); Vanguard (Nigeria)";National;"Around 27 April 2023 (as reported), troops of 151 task force battalion, Operation Hadin Kai in collaboration with Civilian JTF and hybrid forces clashed with Boko Haram [JAS faction] militants when they invaded their hideouts in Gargash (Bama, Borno). An unspecified number of militants were killed, two aid workers who were abducted in 2022 were rescued, three vehicles, one with an anti aircraft gun were recovered. Other sources report that about 35 militants were killed.";35;;1686096183
NIG31066;"20 April 2023";2023;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (2015-2023)";"Civilian JTF: Civilian Joint Task Force";1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Bama;11.5221;13.6856;2;"Daily Champion";National;"On 20 April 2023, troops of 21 Armored Brigade of Operation Hadin Kai, 199 Special Forces Battalion and Civilian JTF clashed with dozens of Boko Haram [JAS] militants at Ukuba and Garin Glucose in Bama LGA (Borno). 9 militants were killed others escaped with bullet wounds, one truck and two 122 artillery guns were recovered by the troops, some women who were held by captive were rescued during the operations which lasted three days.";9;;1686096183
NIG31065;"19 April 2023";2023;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (2015-2023)";"Civilian JTF: Civilian Joint Task Force";1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Bama;11.5221;13.6856;2;"Daily Champion";National;"On 19 April 2023, troops of 21 Armored Brigade of Operation Hadin Kai, 199 Special Forces Battalion and Civilian JTF clashed with dozens of Boko Haram [JAS] militants at Izzah and Farisu in Bama LGA (Borno). 26 militants were killed at the two locations; one civilian JTF operative also died, several motorcycles, and anti-aircraft gun and rifles were recovered, some women who were held by captive were rescued during the operations which lasted three days.";27;;1686096183
NIG31064;"17 April 2023";2023;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (2015-2023)";"Civilian JTF: Civilian Joint Task Force";1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Garno;11.6608;14.045;2;"Daily Champion; Daily Trust (Nigeria)";National;"On 17 April 2023, troops of 21 Armored Brigade of Operation Hadin Kai, 199 Special Forces Battalion and Civilian JTF clashed with Boko Haram [JAS] militants during a clearance operation at Awulari and Garno (Bama, Borno). Three militants including a commander were killed at Alafa, some women who were held by captive were rescued during the operations which lasted three days.";3;;1686096183
NIG30893;"13 April 2023";2023;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (2015-2023)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Gwoza;;Pulka;11.1767;13.8256;1;Twitter;"New media";"On 13 April 2023, troops of Operation Hadin Kai intercepted and killed one Boko Haram [JAS faction] fighter at Pulka (Gwoza, Borno). One AK-47 rifle was recovered.";1;;1686096182
NIG30803;"04 April 2023";2023;1;"Political violence";Battles;"Armed clash";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Military Forces of Nigeria (2015-2023)";"Civilian JTF: Civilian Joint Task Force";1;12;;566;"Western Africa";Nigeria;Borno;Gwoza;;Pulka;11.1767;13.8256;1;"Twitter; Vanguard (Nigeria)";"New media-National";"On 4 April 2023, Boko Haram militants [JAS faction] suspected to be from the camp of Ali Ngulde were engaged in an armed clash and repelled by Nigerian troops and Civilian JTF at Pulka (Gwoza, Borno) when they attempted to invade civilian quarters. Five militants were killed while the others fled.";5;;1686096182
